char_1,char_2
Horace Slughorn,Dirk Cresswell
Horace Slughorn,Dolores Umbridge
Horace Slughorn,Draco Malfoy
Horace Slughorn,Filius Flitwick
Horace Slughorn,Ginny Weasley
Horace Slughorn,Goyle Sr
Horace Slughorn,Harry Potter
Horace Slughorn,Hermione Granger
Horace Slughorn,Kingsley Shacklebolt
Horace Slughorn,Lavender Brown
Horace Slughorn,Lord Voldemort
Horace Slughorn,Lucius Malfoy
Horace Slughorn,Luna Lovegood
Horace Slughorn,Madam Rosmerta
Horace Slughorn,Minerva McGonagall
Horace Slughorn,Neville Longbottom
Horace Slughorn,Pansy Parkinson
Horace Slughorn,Parvati Patil
Horace Slughorn,Peeves
Horace Slughorn,Peter Pettigrew
Horace Slughorn,Pomona Sprout
Horace Slughorn,Poppy Pomfrey
Horace Slughorn,Regulus Black
Horace Slughorn,Romilda Vane
Horace Slughorn,Ron Weasley
Horace Slughorn,Rubeus Hagrid
Horace Slughorn,Severus Snape
Horace Slughorn,Sirius Black
Horace Slughorn,Sybill Trelawney
Horace Slughorn,Theodore Nott
Horace Slughorn,Zacharias Smith
Salazar Slytherin,Albus Dumbledore
Salazar Slytherin,Bloody Baron
Salazar Slytherin,Colin Creevey
Salazar Slytherin,Cuthbert Binns
Salazar Slytherin,Dolores Umbridge
Salazar Slytherin,Draco Malfoy
Salazar Slytherin,Godric Gryffindor
Salazar Slytherin,Harry Potter
Salazar Slytherin,Hepzibah Smith
Salazar Slytherin,Kreacher
Salazar Slytherin,Lord Voldemort
Salazar Slytherin,Marvolo Gaunt
Salazar Slytherin,Merope Gaune
Salazar Slytherin,Moaning Myrtle
Salazar Slytherin,Morfin Gaunt
Salazar Slytherin,Mundungus Fletcher
Salazar Slytherin,Nagini
Salazar Slytherin,Peeves
Salazar Slytherin,Pomona Sprout
Salazar Slytherin,Regulus Black
Salazar Slytherin,Rowena Ravenclaw
Salazar Slytherin,Rubeus Hagrid
Salazar Slytherin,Tom Riddle Sr.
Hepzibah Smith,Albus Dumbledore
